observation_date,DGS5
1/4/1982,14.15
1/5/1982,14.41
1/6/1982,14.6
1/7/1982,14.66
1/8/1982,14.47
1/11/1982,14.83
1/12/1982,14.7
1/13/1982,14.86
1/14/1982,14.69
1/15/1982,14.86
1/18/1982,14.77
1/19/1982,14.79
1/20/1982,14.9
1/21/1982,14.75
1/22/1982,14.85
1/25/1982,14.8
1/26/1982,14.63
1/27/1982,14.62
1/28/1982,14.33
1/29/1982,14.24
2/1/1982,14.79
2/2/1982,14.61
2/3/1982,14.73
2/4/1982,14.82
2/5/1982,14.72
2/8/1982,14.94
2/9/1982,15.02
2/10/1982,14.89
2/11/1982,14.8
2/12/1982,#N/A
2/15/1982,#N/A
2/16/1982,14.68
2/17/1982,14.73
2/18/1982,14.45
2/19/1982,14.44
2/22/1982,13.97
2/23/1982,14.03
2/24/1982,13.98
2/25/1982,14.01
2/26/1982,14.12
3/1/1982,13.97
3/2/1982,13.87
3/3/1982,13.77
3/4/1982,13.61
3/5/1982,13.57
3/8/1982,13.57
3/9/1982,13.72
3/10/1982,13.75
3/11/1982,14.03
3/12/1982,14.04
3/15/1982,14.11
3/16/1982,14.04
3/17/1982,14
3/18/1982,14.01
3/19/1982,14.06
3/22/1982,13.91
3/23/1982,13.89
3/24/1982,14.1
3/25/1982,14.09
3/26/1982,14.18
3/29/1982,14.39
3/30/1982,14.41
3/31/1982,14.39
4/1/1982,14.26
4/2/1982,14.26
4/5/1982,14.28
4/6/1982,14.3
4/7/1982,14.3
4/8/1982,14.11
4/9/1982,#N/A
4/12/1982,14.01
4/13/1982,13.99
4/14/1982,14.12
4/15/1982,14.05
4/16/1982,13.83
4/19/1982,13.83
4/20/1982,13.89
4/21/1982,13.81
4/22/1982,13.87
4/23/1982,13.84
4/26/1982,13.81
4/27/1982,13.8
4/28/1982,13.87
4/29/1982,13.95
4/30/1982,13.9
5/3/1982,14.02
5/4/1982,14.02
5/5/1982,13.95
5/6/1982,13.71
5/7/1982,13.64
5/10/1982,13.59
5/11/1982,13.64
5/12/1982,13.75
5/13/1982,13.84
5/14/1982,13.64
5/17/1982,13.71
5/18/1982,13.76
5/19/1982,13.81
5/20/1982,13.64
5/21/1982,13.66
5/24/1982,13.68
5/25/1982,13.73
5/26/1982,13.74
5/27/1982,13.79
5/28/1982,13.76
5/31/1982,#N/A
6/1/1982,13.98
6/2/1982,13.96
6/3/1982,13.94
6/4/1982,14.03
6/7/1982,14
6/8/1982,14.04
6/9/1982,14.06
6/10/1982,14.08
6/11/1982,14
6/14/1982,14.31
6/15/1982,14.31
6/16/1982,14.39
6/17/1982,14.61
6/18/1982,14.8
6/21/1982,14.85
6/22/1982,14.84
6/23/1982,14.95
6/24/1982,14.94
6/25/1982,14.93
